epoch ,time      ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,  5599.79 ,  1.5963  ,  3.14545 ,  2.77979 ,  1.73292 ,                0.30487 ,             0.1171  ,            0.23282 ,               0.16901 ,                0.30757 ,             0.11379 ,            0.21781 ,               0.14649 ,          0.12634 ,          0.16689 ,          0.17856 ,          0.12416 ,          0.14621 ,          0.15075 ,1.32981 ,2.87262 ,7.33943 ,1.41838 ,0.000666605 ,0.000666605 ,0.000666605
    2 ,  9331.06 ,  1.1397  ,  2.38356 ,  2.01249 ,  1.32142 ,                0.30487 ,             0.1171  ,            0.23282 ,               0.16901 ,                0.30757 ,             0.11379 ,            0.21781 ,               0.14649 ,          0.12634 ,          0.16689 ,          0.17856 ,          0.12416 ,          0.14621 ,          0.15075 ,1.32981 ,2.87262 ,7.33943 ,1.41838 ,0.00128927  ,0.00128927  ,0.00128927
    3 , 13091.9  ,  1.0736  ,  2.25757 ,  1.8923  ,  1.2754  ,                0.30487 ,             0.1171  ,            0.23282 ,               0.16901 ,                0.30757 ,             0.11379 ,            0.21781 ,               0.14649 ,          0.12634 ,          0.16689 ,          0.17856 ,          0.12416 ,          0.14621 ,          0.15075 ,1.32981 ,2.87262 ,7.33943 ,1.41838 ,0.00186794  ,0.00186794  ,0.00186794
    4 , 16809.6  ,  1.03606 ,  2.17749 ,  1.82042 ,  1.24816 ,                0.30487 ,             0.1171  ,            0.23282 ,               0.16901 ,                0.30757 ,             0.11379 ,            0.21781 ,               0.14649 ,          0.12634 ,          0.16689 ,          0.17856 ,          0.12416 ,          0.14621 ,          0.15075 ,1.32981 ,2.87262 ,7.33943 ,1.41838 ,0.001802    ,0.001802    ,0.001802
    5 , 20586.9  ,  1.00797 ,  2.11536 ,  1.76214 ,  1.22854 ,                0.30487 ,             0.1171  ,            0.23282 ,               0.16901 ,                0.30757 ,             0.11379 ,            0.21781 ,               0.14649 ,          0.12634 ,          0.16689 ,          0.17856 ,          0.12416 ,          0.14621 ,          0.15075 ,1.32981 ,2.87262 ,7.33943 ,1.41838 ,0.001736    ,0.001736    ,0.001736
    6 , 25901.7  ,  0.99357 ,  2.08013 ,  1.72943 ,  1.21783 ,                0.27578 ,             0.18169 ,            0.34059 ,               0.25505 ,                0.26799 ,             0.18228 ,            0.32271 ,               0.21868 ,          0.18263 ,          0.24451 ,          0.27743 ,          0.16868 ,          0.21447 ,          0.23142 ,1.15381 ,2.53597 ,5.40514 ,1.26356 ,0.00167     ,0.00167     ,0.00167
    7 , 29691.4  ,  0.98124 ,  2.05421 ,  1.70837 ,  1.21021 ,                0.27578 ,             0.18169 ,            0.34059 ,               0.25505 ,                0.26799 ,             0.18228 ,            0.32271 ,               0.21868 ,          0.18263 ,          0.24451 ,          0.27743 ,          0.16868 ,          0.21447 ,          0.23142 ,1.15381 ,2.53597 ,5.40514 ,1.26356 ,0.001604    ,0.001604    ,0.001604
    8 , 33426.4  ,  0.97493 ,  2.03181 ,  1.68926 ,  1.20515 ,                0.27578 ,             0.18169 ,            0.34059 ,               0.25505 ,                0.26799 ,             0.18228 ,            0.32271 ,               0.21868 ,          0.18263 ,          0.24451 ,          0.27743 ,          0.16868 ,          0.21447 ,          0.23142 ,1.15381 ,2.53597 ,5.40514 ,1.26356 ,0.001538    ,0.001538    ,0.001538
    9 , 37242.2  ,  0.96644 ,  2.01421 ,  1.67626 ,  1.20005 ,                0.27578 ,             0.18169 ,            0.34059 ,               0.25505 ,                0.26799 ,             0.18228 ,            0.32271 ,               0.21868 ,          0.18263 ,          0.24451 ,          0.27743 ,          0.16868 ,          0.21447 ,          0.23142 ,1.15381 ,2.53597 ,5.40514 ,1.26356 ,0.001472    ,0.001472    ,0.001472
   10 , 41003.3  ,  0.96072 ,  1.9986  ,  1.6626  ,  1.19577 ,                0.27578 ,             0.18169 ,            0.34059 ,               0.25505 ,                0.26799 ,             0.18228 ,            0.32271 ,               0.21868 ,          0.18263 ,          0.24451 ,          0.27743 ,          0.16868 ,          0.21447 ,          0.23142 ,1.15381 ,2.53597 ,5.40514 ,1.26356 ,0.001406    ,0.001406    ,0.001406
   11 , 46365.9  ,  0.95467 ,  1.98523 ,  1.64799 ,  1.19073 ,                0.24456 ,             0.20418 ,            0.37391 ,               0.28007 ,                0.25335 ,             0.19693 ,            0.35392 ,               0.24151 ,          0.19856 ,          0.27269 ,          0.30128 ,          0.18208 ,          0.24094 ,          0.25271 ,1.11258 ,2.46715 ,5.34847 ,1.23585 ,0.00134     ,0.00134     ,0.00134
