epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1257.97,1.17875,2.95148,1.51068,1.24744,0.644,0.53496,0.58635,0.41466,0.63818,0.51283,0.5528,0.35185,1.0281,2.69718,1.0521,1.12323,0.000332973,0.000332973,0.000332973
2,1425.28,1.17138,2.92691,1.41754,1.2427,0.644,0.53496,0.58635,0.41466,0.63818,0.51283,0.5528,0.35185,1.0281,2.69718,1.0521,1.12323,0.000600342,0.000600342,0.000600342
3,1584.33,1.16778,2.91498,1.38738,1.23764,0.644,0.53496,0.58635,0.41466,0.63818,0.51283,0.5528,0.35185,1.0281,2.69718,1.0521,1.12323,0.000801711,0.000801711,0.000801711
4,1742.6,1.16426,2.92167,1.38247,1.23399,0.644,0.53496,0.58635,0.41466,0.63818,0.51283,0.5528,0.35185,1.0281,2.69718,1.0521,1.12323,0.000703,0.000703,0.000703
5,1900.27,1.17505,2.94143,1.38027,1.23697,0.644,0.53496,0.58635,0.41466,0.63818,0.51283,0.5528,0.35185,1.0281,2.69718,1.0521,1.12323,0.000604,0.000604,0.000604
6,2877.96,1.05476,2.71898,1.06381,1.17336,0.6506,0.54658,0.60356,0.4294,0.64469,0.52199,0.56753,0.36331,1.02549,2.69392,0.9984,1.12092,0.000505,0.000505,0.000505
7,3895.67,1.05621,2.72471,1.06051,1.17563,0.65383,0.54643,0.60455,0.43033,0.64535,0.52335,0.56849,0.36407,1.0251,2.69398,0.99543,1.12061,0.000406,0.000406,0.000406
8,4868.41,1.06003,2.7142,1.04932,1.18252,0.64652,0.55546,0.60463,0.43053,0.64326,0.5285,0.56821,0.36372,1.02486,2.69369,0.99216,1.12059,0.000307,0.000307,0.000307
9,5905.23,1.05576,2.71965,1.04728,1.18206,0.64968,0.5544,0.60519,0.43062,0.64152,0.52919,0.56852,0.36354,1.02493,2.69363,0.99122,1.12074,0.000208,0.000208,0.000208
10,6873.36,1.06188,2.73223,1.05271,1.18114,0.64941,0.55475,0.60608,0.43153,0.64544,0.52562,0.56902,0.36412,1.02504,2.69383,0.99063,1.12079,0.000109,0.000109,0.000109
