epoch ,time     ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 , 1305.52 ,       1.08503 ,       2.51604 ,       1.38562 ,       1.173   ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000332973 ,0.000332973 ,0.000332973
    2 , 1601.65 ,       1.08824 ,       2.46074 ,       1.35066 ,       1.17119 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000658061 ,0.000658061 ,0.000658061
    3 , 1892.36 ,       1.12585 ,       2.51984 ,       1.40072 ,       1.18981 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000974899 ,0.000974899 ,0.000974899
    4 , 2183.99 ,       1.14024 ,       2.54951 ,       1.4249  ,       1.1999  ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000962875 ,0.000962875 ,0.000962875
    5 , 2477.28 ,       1.14688 ,       2.55552 ,       1.40715 ,       1.19979 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.0009505   ,0.0009505   ,0.0009505
    6 , 2769.51 ,       1.13061 ,       2.52195 ,       1.39206 ,       1.19575 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000938125 ,0.000938125 ,0.000938125
    7 , 3061.94 ,       1.12944 ,       2.52218 ,       1.37572 ,       1.19246 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.00092575  ,0.00092575  ,0.00092575
    8 , 3353.79 ,       1.12082 ,       2.48844 ,       1.35268 ,       1.18639 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000913375 ,0.000913375 ,0.000913375
    9 , 3645.78 ,       1.12386 ,       2.51487 ,       1.35412 ,       1.19056 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000901    ,0.000901    ,0.000901
   10 , 3938.45 ,       1.11134 ,       2.48071 ,       1.32314 ,       1.18024 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000888625 ,0.000888625 ,0.000888625
   11 , 4230.09 ,       1.11519 ,       2.46466 ,       1.3134  ,       1.17876 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.00087625  ,0.00087625  ,0.00087625
   12 , 4522.51 ,       1.11309 ,       2.4797  ,       1.31617 ,       1.18356 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000863875 ,0.000863875 ,0.000863875
   13 , 4813.39 ,       1.10362 ,       2.45741 ,       1.29958 ,       1.17404 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.0008515   ,0.0008515   ,0.0008515
   14 , 5104.28 ,       1.10133 ,       2.45027 ,       1.28894 ,       1.17298 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000839125 ,0.000839125 ,0.000839125
   15 , 5394.09 ,       1.08932 ,       2.42159 ,       1.26834 ,       1.16849 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.00082675  ,0.00082675  ,0.00082675
   16 , 5685.49 ,       1.09825 ,       2.44063 ,       1.27943 ,       1.17229 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000814375 ,0.000814375 ,0.000814375
   17 , 5976.67 ,       1.09408 ,       2.43478 ,       1.2674  ,       1.16671 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000802    ,0.000802    ,0.000802
   18 , 6269.05 ,       1.0899  ,       2.42016 ,       1.26332 ,       1.16365 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000789625 ,0.000789625 ,0.000789625
   19 , 6560.48 ,       1.09089 ,       2.40967 ,       1.25575 ,       1.16451 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.00077725  ,0.00077725  ,0.00077725
   20 , 6850.94 ,       1.0802  ,       2.40437 ,       1.24649 ,       1.15905 ,             0.63455 ,          0.53835 ,         0.57784 ,            0.42229 ,             0.63146 ,          0.52008 ,         0.54799 ,            0.34426 ,     0.95333 ,     2.14942 ,     1.04831 ,     1.08754 ,0.000764875 ,0.000764875 ,0.000764875
   21 , 7954.28 ,       1.07757 ,       2.39307 ,       1.23825 ,       1.16073 ,             0.6916  ,          0.58476 ,         0.64634 ,            0.47976 ,             0.68162 ,          0.56738 ,         0.61453 ,            0.39011 ,     0.92756 ,     2.04496 ,     0.93535 ,     1.07357 ,0.0007525   ,0.0007525   ,0.0007525
   22 , 8245.99 ,       1.07304 ,       2.37907 ,       1.22615 ,       1.15736 ,             0.6916  ,          0.58476 ,         0.64634 ,            0.47976 ,             0.68162 ,          0.56738 ,         0.61453 ,            0.39011 ,     0.92756 ,     2.04496 ,     0.93535 ,     1.07357 ,0.000740125 ,0.000740125 ,0.000740125
   23 , 8538.68 ,       1.07781 ,       2.39337 ,       1.23759 ,       1.15849 ,             0.6916  ,          0.58476 ,         0.64634 ,            0.47976 ,             0.68162 ,          0.56738 ,         0.61453 ,            0.39011 ,     0.92756 ,     2.04496 ,     0.93535 ,     1.07357 ,0.00072775  ,0.00072775  ,0.00072775
   24 , 8831.99 ,       1.07557 ,       2.3935  ,       1.23196 ,       1.15821 ,             0.6916  ,          0.58476 ,         0.64634 ,            0.47976 ,             0.68162 ,          0.56738 ,         0.61453 ,            0.39011 ,     0.92756 ,     2.04496 ,     0.93535 ,     1.07357 ,0.000715375 ,0.000715375 ,0.000715375
   25 , 9124.19 ,       1.07083 ,       2.37885 ,       1.22119 ,       1.15481 ,             0.6916  ,          0.58476 ,         0.64634 ,            0.47976 ,             0.68162 ,          0.56738 ,         0.61453 ,            0.39011 ,     0.92756 ,     2.04496 ,     0.93535 ,     1.07357 ,0.000703    ,0.000703    ,0.000703
   26 , 9418.66 ,       1.07084 ,       2.37823 ,       1.21608 ,       1.1536  ,             0.6916  ,          0.58476 ,         0.64634 ,            0.47976 ,             0.68162 ,          0.56738 ,         0.61453 ,            0.39011 ,     0.92756 ,     2.04496 ,     0.93535 ,     1.07357 ,0.000690625 ,0.000690625 ,0.000690625
