epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1180.61,1.24184,3.02902,1.69455,1.27923,0.58941,0.48603,0.50987,0.3546,0.57856,0.46472,0.48047,0.30314,1.09636,2.78264,1.22054,1.12236,0.000332973,0.000332973,0.000332973
2,1313.68,1.23362,3.00989,1.59214,1.27302,0.58941,0.48603,0.50987,0.3546,0.57856,0.46472,0.48047,0.30314,1.09636,2.78264,1.22054,1.12236,0.000600342,0.000600342,0.000600342
3,1449.4,1.22899,2.99759,1.55872,1.26701,0.58941,0.48603,0.50987,0.3546,0.57856,0.46472,0.48047,0.30314,1.09636,2.78264,1.22054,1.12236,0.000801711,0.000801711,0.000801711
4,1583.28,1.22977,2.99983,1.55463,1.26629,0.58941,0.48603,0.50987,0.3546,0.57856,0.46472,0.48047,0.30314,1.09636,2.78264,1.22054,1.12236,0.000703,0.000703,0.000703
5,1714.88,1.24206,3.03169,1.55165,1.26887,0.58941,0.48603,0.50987,0.3546,0.57856,0.46472,0.48047,0.30314,1.09636,2.78264,1.22054,1.12236,0.000604,0.000604,0.000604
6,2608.36,1.10978,2.78652,1.18424,1.1629,0.59797,0.48761,0.52646,0.36837,0.59261,0.47158,0.49526,0.31359,1.09703,2.78137,1.14862,1.12076,0.000505,0.000505,0.000505
7,3492.23,1.11005,2.78279,1.17963,1.16411,0.59572,0.48877,0.52653,0.36873,0.60004,0.46459,0.49558,0.3138,1.09664,2.78094,1.14526,1.12074,0.000406,0.000406,0.000406
8,4386.12,1.1117,2.76978,1.16636,1.16766,0.61506,0.48868,0.52819,0.36945,0.60012,0.47068,0.49662,0.31464,1.09634,2.7807,1.14326,1.12079,0.000307,0.000307,0.000307
9,5339.92,1.10714,2.77306,1.1619,1.16703,0.5988,0.48813,0.52832,0.36957,0.59133,0.47047,0.49598,0.31434,1.09627,2.78074,1.14251,1.12079,0.000208,0.000208,0.000208
10,6295.41,1.11234,2.78216,1.17281,1.16634,0.60459,0.48573,0.52881,0.36994,0.59754,0.4682,0.49698,0.31482,1.09633,2.78086,1.14186,1.12075,0.000109,0.000109,0.000109
