epoch ,time    ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,1184.86 ,       1.15698 ,       2.66341 ,       1.54948 ,       1.20851 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000332973 ,0.000332973 ,0.000332973
    2 ,1367.95 ,       1.16163 ,       2.62577 ,       1.52329 ,       1.20749 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000662184 ,0.000662184 ,0.000662184
    3 ,1552.68 ,       1.19846 ,       2.68123 ,       1.57378 ,       1.2275  ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000987269 ,0.000987269 ,0.000987269
    4 ,1736.89 ,       1.21576 ,       2.70987 ,       1.59887 ,       1.23956 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000981437 ,0.000981437 ,0.000981437
    5 ,1919.5  ,       1.22366 ,       2.73237 ,       1.5871  ,       1.23851 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.00097525  ,0.00097525  ,0.00097525
    6 ,2101.4  ,       1.20705 ,       2.69417 ,       1.57198 ,       1.2346  ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000969063 ,0.000969063 ,0.000969063
    7 ,2282.18 ,       1.20798 ,       2.69063 ,       1.5548  ,       1.23338 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000962875 ,0.000962875 ,0.000962875
    8 ,2463.15 ,       1.20149 ,       2.66827 ,       1.53705 ,       1.22938 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000956688 ,0.000956688 ,0.000956688
    9 ,2643.93 ,       1.20418 ,       2.68488 ,       1.53905 ,       1.2308  ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.0009505   ,0.0009505   ,0.0009505
   10 ,2824.63 ,       1.18893 ,       2.65952 ,       1.50592 ,       1.22103 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000944313 ,0.000944313 ,0.000944313
   11 ,3005.1  ,       1.19759 ,       2.65284 ,       1.49603 ,       1.22086 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000938125 ,0.000938125 ,0.000938125
   12 ,3187.06 ,       1.19486 ,       2.66232 ,       1.49888 ,       1.22566 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000931938 ,0.000931938 ,0.000931938
   13 ,3370.12 ,       1.18422 ,       2.6429  ,       1.48275 ,       1.21639 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.00092575  ,0.00092575  ,0.00092575
   14 ,3553.38 ,       1.18115 ,       2.63141 ,       1.47097 ,       1.21402 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000919562 ,0.000919562 ,0.000919562
   15 ,3733.09 ,       1.1704  ,       2.60939 ,       1.45614 ,       1.21092 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000913375 ,0.000913375 ,0.000913375
   16 ,3913.4  ,       1.18101 ,       2.62798 ,       1.46885 ,       1.21596 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000907188 ,0.000907188 ,0.000907188
   17 ,4093.59 ,       1.17555 ,       2.6152  ,       1.45127 ,       1.20959 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000901    ,0.000901    ,0.000901
   18 ,4276.82 ,       1.17417 ,       2.61362 ,       1.44921 ,       1.20975 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000894812 ,0.000894812 ,0.000894812
   19 ,4457.48 ,       1.17713 ,       2.60692 ,       1.44783 ,       1.21046 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000888625 ,0.000888625 ,0.000888625
   20 ,4639.11 ,       1.16212 ,       2.59199 ,       1.43236 ,       1.20175 ,             0.57998 ,          0.4661  ,         0.49954 ,            0.35592 ,             0.58945 ,          0.44053 ,         0.47067 ,            0.29527 ,     1.04714 ,     2.38587 ,     1.22333 ,     1.10297 ,0.000882437 ,0.000882437 ,0.000882437
   21 ,5552.76 ,       1.1612  ,       2.59205 ,       1.42825 ,       1.20502 ,             0.65668 ,          0.52244 ,         0.577   ,            0.41929 ,             0.65556 ,          0.50278 ,         0.54479 ,            0.34409 ,     1.0141  ,     2.26528 ,     1.07215 ,     1.08773 ,0.00087625  ,0.00087625  ,0.00087625
   22 ,5733.32 ,       1.15993 ,       2.58168 ,       1.42276 ,       1.20137 ,             0.65668 ,          0.52244 ,         0.577   ,            0.41929 ,             0.65556 ,          0.50278 ,         0.54479 ,            0.34409 ,     1.0141  ,     2.26528 ,     1.07215 ,     1.08773 ,0.000870063 ,0.000870063 ,0.000870063
   23 ,5913.55 ,       1.16518 ,       2.5919  ,       1.43213 ,       1.20558 ,             0.65668 ,          0.52244 ,         0.577   ,            0.41929 ,             0.65556 ,          0.50278 ,         0.54479 ,            0.34409 ,     1.0141  ,     2.26528 ,     1.07215 ,     1.08773 ,0.000863875 ,0.000863875 ,0.000863875
   24 ,6095.52 ,       1.16457 ,       2.60129 ,       1.42844 ,       1.20474 ,             0.65668 ,          0.52244 ,         0.577   ,            0.41929 ,             0.65556 ,          0.50278 ,         0.54479 ,            0.34409 ,     1.0141  ,     2.26528 ,     1.07215 ,     1.08773 ,0.000857687 ,0.000857687 ,0.000857687
   25 ,6278.11 ,       1.1551  ,       2.58062 ,       1.41306 ,       1.19857 ,             0.65668 ,          0.52244 ,         0.577   ,            0.41929 ,             0.65556 ,          0.50278 ,         0.54479 ,            0.34409 ,     1.0141  ,     2.26528 ,     1.07215 ,     1.08773 ,0.0008515   ,0.0008515   ,0.0008515
   26 ,6458.9  ,       1.16257 ,       2.58486 ,       1.4152  ,       1.20291 ,             0.65668 ,          0.52244 ,         0.577   ,            0.41929 ,             0.65556 ,          0.50278 ,         0.54479 ,            0.34409 ,     1.0141  ,     2.26528 ,     1.07215 ,     1.08773 ,0.000845313 ,0.000845313 ,0.000845313
   27 ,6639.9  ,       1.15951 ,       2.58231 ,       1.41776 ,       1.20237 ,             0.65668 ,          0.52244 ,         0.577   ,            0.41929 ,             0.65556 ,          0.50278 ,         0.54479 ,            0.34409 ,     1.0141  ,     2.26528 ,     1.07215 ,     1.08773 ,0.000839125 ,0.000839125 ,0.000839125
   28 ,6821.95 ,       1.16    ,       2.56823 ,       1.41447 ,       1.20166 ,             0.65668 ,          0.52244 ,         0.577   ,            0.41929 ,             0.65556 ,          0.50278 ,         0.54479 ,            0.34409 ,     1.0141  ,     2.26528 ,     1.07215 ,     1.08773 ,0.000832938 ,0.000832938 ,0.000832938
