epoch ,time      ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,  6862.45 ,  1.78451 ,  3.47243 ,  3.07412 ,  1.86498 ,                0.26549 ,             0.09724 ,            0.16694 ,               0.1139  ,                0.27054 ,             0.08844 ,            0.15336 ,               0.09897 ,          0.07475 ,          0.11038 ,          0.12406 ,          0.07486 ,          0.09753 ,          0.10459 ,1.51948 ,3.18606 ,8.04624 ,1.51356 ,0.000666605 ,0.000666605 ,0.000666605
    2 , 10587.4  ,  1.31019 ,  2.72095 ,  2.28535 ,  1.38574 ,                0.26549 ,             0.09724 ,            0.16694 ,               0.1139  ,                0.27054 ,             0.08844 ,            0.15336 ,               0.09897 ,          0.07475 ,          0.11038 ,          0.12406 ,          0.07486 ,          0.09753 ,          0.10459 ,1.51948 ,3.18606 ,8.04624 ,1.51356 ,0.00128927  ,0.00128927  ,0.00128927
    3 , 14280.4  ,  1.23352 ,  2.58856 ,  2.14616 ,  1.3217  ,                0.26549 ,             0.09724 ,            0.16694 ,               0.1139  ,                0.27054 ,             0.08844 ,            0.15336 ,               0.09897 ,          0.07475 ,          0.11038 ,          0.12406 ,          0.07486 ,          0.09753 ,          0.10459 ,1.51948 ,3.18606 ,8.04624 ,1.51356 ,0.00186794  ,0.00186794  ,0.00186794
    4 , 18062    ,  1.19381 ,  2.50721 ,  2.06697 ,  1.29156 ,                0.26549 ,             0.09724 ,            0.16694 ,               0.1139  ,                0.27054 ,             0.08844 ,            0.15336 ,               0.09897 ,          0.07475 ,          0.11038 ,          0.12406 ,          0.07486 ,          0.09753 ,          0.10459 ,1.51948 ,3.18606 ,8.04624 ,1.51356 ,0.001802    ,0.001802    ,0.001802
    5 , 21746.9  ,  1.16492 ,  2.44503 ,  2.00278 ,  1.2705  ,                0.26549 ,             0.09724 ,            0.16694 ,               0.1139  ,                0.27054 ,             0.08844 ,            0.15336 ,               0.09897 ,          0.07475 ,          0.11038 ,          0.12406 ,          0.07486 ,          0.09753 ,          0.10459 ,1.51948 ,3.18606 ,8.04624 ,1.51356 ,0.001736    ,0.001736    ,0.001736
    6 , 28493.6  ,  1.15016 ,  2.4082  ,  1.96703 ,  1.2595  ,                0.2374  ,             0.16162 ,            0.2706  ,               0.19658 ,                0.23937 ,             0.15738 ,            0.2518  ,               0.16934 ,          0.13576 ,          0.18832 ,          0.21485 ,          0.13211 ,          0.16353 ,          0.18119 ,1.28273 ,2.76538 ,6.44906 ,1.29486 ,0.00167     ,0.00167     ,0.00167
    7 , 32214.6  ,  1.1376  ,  2.38179 ,  1.9429  ,  1.25074 ,                0.2374  ,             0.16162 ,            0.2706  ,               0.19658 ,                0.23937 ,             0.15738 ,            0.2518  ,               0.16934 ,          0.13576 ,          0.18832 ,          0.21485 ,          0.13211 ,          0.16353 ,          0.18119 ,1.28273 ,2.76538 ,6.44906 ,1.29486 ,0.001604    ,0.001604    ,0.001604
    8 , 36010    ,  1.13048 ,  2.35942 ,  1.92234 ,  1.24552 ,                0.2374  ,             0.16162 ,            0.2706  ,               0.19658 ,                0.23937 ,             0.15738 ,            0.2518  ,               0.16934 ,          0.13576 ,          0.18832 ,          0.21485 ,          0.13211 ,          0.16353 ,          0.18119 ,1.28273 ,2.76538 ,6.44906 ,1.29486 ,0.001538    ,0.001538    ,0.001538
    9 , 39740.1  ,  1.1213  ,  2.34031 ,  1.90744 ,  1.23997 ,                0.2374  ,             0.16162 ,            0.2706  ,               0.19658 ,                0.23937 ,             0.15738 ,            0.2518  ,               0.16934 ,          0.13576 ,          0.18832 ,          0.21485 ,          0.13211 ,          0.16353 ,          0.18119 ,1.28273 ,2.76538 ,6.44906 ,1.29486 ,0.001472    ,0.001472    ,0.001472
   10 , 43521    ,  1.1152  ,  2.32453 ,  1.8933  ,  1.23558 ,                0.2374  ,             0.16162 ,            0.2706  ,               0.19658 ,                0.23937 ,             0.15738 ,            0.2518  ,               0.16934 ,          0.13576 ,          0.18832 ,          0.21485 ,          0.13211 ,          0.16353 ,          0.18119 ,1.28273 ,2.76538 ,6.44906 ,1.29486 ,0.001406    ,0.001406    ,0.001406
   11 , 50238.3  ,  1.1095  ,  2.31235 ,  1.87711 ,  1.23051 ,                0.26146 ,             0.16959 ,            0.30145 ,               0.21806 ,                0.26219 ,             0.16157 ,            0.28343 ,               0.19029 ,          0.17052 ,          0.20599 ,          0.23731 ,          0.1636  ,          0.18498 ,          0.19981 ,1.25925 ,2.72994 ,6.49759 ,1.26317 ,0.00134     ,0.00134     ,0.00134
   12 , 53999.2  ,  1.10082 ,  2.29708 ,  1.8606  ,  1.226   ,                0.26146 ,             0.16959 ,            0.30145 ,               0.21806 ,                0.26219 ,             0.16157 ,            0.28343 ,               0.19029 ,          0.17052 ,          0.20599 ,          0.23731 ,          0.1636  ,          0.18498 ,          0.19981 ,1.25925 ,2.72994 ,6.49759 ,1.26317 ,0.001274    ,0.001274    ,0.001274
   13 , 57747.3  ,  1.09422 ,  2.2795  ,  1.84774 ,  1.22145 ,                0.26146 ,             0.16959 ,            0.30145 ,               0.21806 ,                0.26219 ,             0.16157 ,            0.28343 ,               0.19029 ,          0.17052 ,          0.20599 ,          0.23731 ,          0.1636  ,          0.18498 ,          0.19981 ,1.25925 ,2.72994 ,6.49759 ,1.26317 ,0.001208    ,0.001208    ,0.001208
   14 , 61459.6  ,  1.08765 ,  2.26577 ,  1.83518 ,  1.21733 ,                0.26146 ,             0.16959 ,            0.30145 ,               0.21806 ,                0.26219 ,             0.16157 ,            0.28343 ,               0.19029 ,          0.17052 ,          0.20599 ,          0.23731 ,          0.1636  ,          0.18498 ,          0.19981 ,1.25925 ,2.72994 ,6.49759 ,1.26317 ,0.001142    ,0.001142    ,0.001142
   15 , 65267.5  ,  1.08275 ,  2.25562 ,  1.82433 ,  1.21389 ,                0.26146 ,             0.16959 ,            0.30145 ,               0.21806 ,                0.26219 ,             0.16157 ,            0.28343 ,               0.19029 ,          0.17052 ,          0.20599 ,          0.23731 ,          0.1636  ,          0.18498 ,          0.19981 ,1.25925 ,2.72994 ,6.49759 ,1.26317 ,0.001076    ,0.001076    ,0.001076
   16 , 71874.8  ,  1.07775 ,  2.24702 ,  1.81109 ,  1.21099 ,                0.27867 ,             0.15726 ,            0.31947 ,               0.23139 ,                0.28569 ,             0.14976 ,            0.29666 ,               0.19936 ,          0.18215 ,          0.22228 ,          0.24834 ,          0.17085 ,          0.19408 ,          0.20917 ,1.24418 ,2.71244 ,6.08841 ,1.24717 ,0.00101     ,0.00101     ,0.00101
   17 , 75693.5  ,  1.07236 ,  2.23437 ,  1.80026 ,  1.20767 ,                0.27867 ,             0.15726 ,            0.31947 ,               0.23139 ,                0.28569 ,             0.14976 ,            0.29666 ,               0.19936 ,          0.18215 ,          0.22228 ,          0.24834 ,          0.17085 ,          0.19408 ,          0.20917 ,1.24418 ,2.71244 ,6.08841 ,1.24717 ,0.000944    ,0.000944    ,0.000944
