epoch ,time      ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 ,  5516.6  ,  1.51449 ,  3.04713 ,  2.6544  ,  1.72791 ,                0.25675 ,             0.14444 ,            0.2456  ,               0.17843 ,                0.25439 ,             0.13877 ,            0.22586 ,               0.15283 ,          0.12744 ,          0.16927 ,          0.19574 ,          0.12397 ,          0.14406 ,          0.1658  ,1.2824  ,2.7934  ,7.48142 ,1.42038 ,0.000666605 ,0.000666605 ,0.000666605
    2 ,  9257.25 ,  1.09524 ,  2.31241 ,  1.97044 ,  1.32089 ,                0.25675 ,             0.14444 ,            0.2456  ,               0.17843 ,                0.25439 ,             0.13877 ,            0.22586 ,               0.15283 ,          0.12744 ,          0.16927 ,          0.19574 ,          0.12397 ,          0.14406 ,          0.1658  ,1.2824  ,2.7934  ,7.48142 ,1.42038 ,0.00128927  ,0.00128927  ,0.00128927
    3 , 12977.3  ,  1.0351  ,  2.19148 ,  1.85849 ,  1.27163 ,                0.25675 ,             0.14444 ,            0.2456  ,               0.17843 ,                0.25439 ,             0.13877 ,            0.22586 ,               0.15283 ,          0.12744 ,          0.16927 ,          0.19574 ,          0.12397 ,          0.14406 ,          0.1658  ,1.2824  ,2.7934  ,7.48142 ,1.42038 ,0.00186794  ,0.00186794  ,0.00186794
    4 , 16727.8  ,  1.00387 ,  2.12183 ,  1.79735 ,  1.24437 ,                0.25675 ,             0.14444 ,            0.2456  ,               0.17843 ,                0.25439 ,             0.13877 ,            0.22586 ,               0.15283 ,          0.12744 ,          0.16927 ,          0.19574 ,          0.12397 ,          0.14406 ,          0.1658  ,1.2824  ,2.7934  ,7.48142 ,1.42038 ,0.001802    ,0.001802    ,0.001802
    5 , 20493.1  ,  0.97863 ,  2.06732 ,  1.74355 ,  1.22392 ,                0.25675 ,             0.14444 ,            0.2456  ,               0.17843 ,                0.25439 ,             0.13877 ,            0.22586 ,               0.15283 ,          0.12744 ,          0.16927 ,          0.19574 ,          0.12397 ,          0.14406 ,          0.1658  ,1.2824  ,2.7934  ,7.48142 ,1.42038 ,0.001736    ,0.001736    ,0.001736
    6 , 25892.6  ,  0.96632 ,  2.03496 ,  1.71406 ,  1.21313 ,                0.24714 ,             0.2094  ,            0.35952 ,               0.26696 ,                0.24586 ,             0.20658 ,            0.33741 ,               0.22868 ,          0.2067  ,          0.25679 ,          0.28681 ,          0.18544 ,          0.22472 ,          0.23997 ,1.11357 ,2.43451 ,6.19649 ,1.25516 ,0.00167     ,0.00167     ,0.00167
    7 , 29662.2  ,  0.95556 ,  2.01245 ,  1.69524 ,  1.20496 ,                0.24714 ,             0.2094  ,            0.35952 ,               0.26696 ,                0.24586 ,             0.20658 ,            0.33741 ,               0.22868 ,          0.2067  ,          0.25679 ,          0.28681 ,          0.18544 ,          0.22472 ,          0.23997 ,1.11357 ,2.43451 ,6.19649 ,1.25516 ,0.001604    ,0.001604    ,0.001604
    8 , 33386.2  ,  0.94958 ,  1.99247 ,  1.67764 ,  1.1992  ,                0.24714 ,             0.2094  ,            0.35952 ,               0.26696 ,                0.24586 ,             0.20658 ,            0.33741 ,               0.22868 ,          0.2067  ,          0.25679 ,          0.28681 ,          0.18544 ,          0.22472 ,          0.23997 ,1.11357 ,2.43451 ,6.19649 ,1.25516 ,0.001538    ,0.001538    ,0.001538
    9 , 37156.5  ,  0.94223 ,  1.97593 ,  1.6663  ,  1.19473 ,                0.24714 ,             0.2094  ,            0.35952 ,               0.26696 ,                0.24586 ,             0.20658 ,            0.33741 ,               0.22868 ,          0.2067  ,          0.25679 ,          0.28681 ,          0.18544 ,          0.22472 ,          0.23997 ,1.11357 ,2.43451 ,6.19649 ,1.25516 ,0.001472    ,0.001472    ,0.001472
   10 , 40895    ,  0.93643 ,  1.96147 ,  1.65335 ,  1.1896  ,                0.24714 ,             0.2094  ,            0.35952 ,               0.26696 ,                0.24586 ,             0.20658 ,            0.33741 ,               0.22868 ,          0.2067  ,          0.25679 ,          0.28681 ,          0.18544 ,          0.22472 ,          0.23997 ,1.11357 ,2.43451 ,6.19649 ,1.25516 ,0.001406    ,0.001406    ,0.001406
