epoch ,time     ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 , 1419.14 ,       1.09118 ,       2.54399 ,       1.42341 ,       1.17938 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000332973 ,0.000332973 ,0.000332973
    2 , 1741.51 ,       1.09653 ,       2.49458 ,       1.4125  ,       1.18007 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000658061 ,0.000658061 ,0.000658061
    3 , 2064.43 ,       1.13325 ,       2.55638 ,       1.45872 ,       1.19696 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000974899 ,0.000974899 ,0.000974899
    4 , 2386.95 ,       1.14796 ,       2.58788 ,       1.48919 ,       1.20939 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000962875 ,0.000962875 ,0.000962875
    5 , 2710.44 ,       1.15269 ,       2.59246 ,       1.4663  ,       1.2057  ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.0009505   ,0.0009505   ,0.0009505
    6 , 3033.6  ,       1.13988 ,       2.56454 ,       1.45542 ,       1.20294 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000938125 ,0.000938125 ,0.000938125
    7 , 3357.33 ,       1.13236 ,       2.55748 ,       1.432   ,       1.19684 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.00092575  ,0.00092575  ,0.00092575
    8 , 3680.52 ,       1.1251  ,       2.52857 ,       1.41364 ,       1.1924  ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000913375 ,0.000913375 ,0.000913375
    9 , 4003.36 ,       1.13126 ,       2.55456 ,       1.41744 ,       1.19782 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000901    ,0.000901    ,0.000901
   10 , 4326.28 ,       1.11821 ,       2.5189  ,       1.38953 ,       1.18696 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000888625 ,0.000888625 ,0.000888625
   11 , 4649.9  ,       1.12097 ,       2.50721 ,       1.37616 ,       1.18556 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.00087625  ,0.00087625  ,0.00087625
   12 , 4972.58 ,       1.12    ,       2.52116 ,       1.3787  ,       1.18979 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000863875 ,0.000863875 ,0.000863875
   13 , 5295.16 ,       1.10865 ,       2.49466 ,       1.35935 ,       1.17968 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.0008515   ,0.0008515   ,0.0008515
   14 , 5618.24 ,       1.1084  ,       2.49377 ,       1.35251 ,       1.18075 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000839125 ,0.000839125 ,0.000839125
   15 , 5941.92 ,       1.09695 ,       2.46558 ,       1.3331  ,       1.17623 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.00082675  ,0.00082675  ,0.00082675
   16 , 6264.06 ,       1.10617 ,       2.48858 ,       1.34463 ,       1.18087 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000814375 ,0.000814375 ,0.000814375
   17 , 6585.97 ,       1.10232 ,       2.47664 ,       1.33109 ,       1.17463 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000802    ,0.000802    ,0.000802
   18 , 6908.21 ,       1.09814 ,       2.46353 ,       1.32577 ,       1.17262 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000789625 ,0.000789625 ,0.000789625
   19 , 7230.7  ,       1.09974 ,       2.45641 ,       1.32265 ,       1.1737  ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.00077725  ,0.00077725  ,0.00077725
   20 , 7553.96 ,       1.08995 ,       2.44869 ,       1.31477 ,       1.16709 ,             0.64867 ,          0.5191  ,         0.57312 ,            0.42134 ,             0.64753 ,          0.50055 ,         0.54228 ,            0.34167 ,     0.94164 ,     2.15453 ,     1.06353 ,     1.08894 ,0.000764875 ,0.000764875 ,0.000764875
   21 , 8722.05 ,       1.08544 ,       2.44169 ,       1.30464 ,       1.16898 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.0007525   ,0.0007525   ,0.0007525
   22 , 9046.29 ,       1.08168 ,       2.42633 ,       1.29474 ,       1.16542 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000740125 ,0.000740125 ,0.000740125
   23 , 9369.75 ,       1.08776 ,       2.43734 ,       1.30209 ,       1.168   ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.00072775  ,0.00072775  ,0.00072775
   24 , 9692.8  ,       1.08332 ,       2.43876 ,       1.29547 ,       1.16602 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000715375 ,0.000715375 ,0.000715375
   25 ,10015    ,       1.07989 ,       2.42556 ,       1.28776 ,       1.16167 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000703    ,0.000703    ,0.000703
   26 ,10338.7  ,       1.081   ,       2.42468 ,       1.28523 ,       1.16013 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000690625 ,0.000690625 ,0.000690625
   27 ,10662.1  ,       1.07842 ,       2.42626 ,       1.28549 ,       1.16272 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.00067825  ,0.00067825  ,0.00067825
   28 ,10985.2  ,       1.07787 ,       2.40708 ,       1.28465 ,       1.16203 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000665875 ,0.000665875 ,0.000665875
   29 ,11307.7  ,       1.06992 ,       2.40052 ,       1.26966 ,       1.15818 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.0006535   ,0.0006535   ,0.0006535
   30 ,11630.6  ,       1.07417 ,       2.40639 ,       1.26653 ,       1.15633 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000641125 ,0.000641125 ,0.000641125
   31 ,11953.9  ,       1.0648  ,       2.38705 ,       1.25111 ,       1.15182 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.00062875  ,0.00062875  ,0.00062875
   32 ,12277.8  ,       1.06719 ,       2.40342 ,       1.25888 ,       1.15471 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000616375 ,0.000616375 ,0.000616375
   33 ,12601    ,       1.06085 ,       2.38028 ,       1.24036 ,       1.14998 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000604    ,0.000604    ,0.000604
   34 ,12925.1  ,       1.05513 ,       2.36532 ,       1.23813 ,       1.14754 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000591625 ,0.000591625 ,0.000591625
   35 ,13248.2  ,       1.06185 ,       2.37607 ,       1.24309 ,       1.14856 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.00057925  ,0.00057925  ,0.00057925
   36 ,13572    ,       1.06039 ,       2.37254 ,       1.22815 ,       1.1462  ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000566875 ,0.000566875 ,0.000566875
   37 ,13894.8  ,       1.06099 ,       2.38398 ,       1.23366 ,       1.15015 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.0005545   ,0.0005545   ,0.0005545
   38 ,14218.3  ,       1.05367 ,       2.35951 ,       1.22443 ,       1.14673 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000542125 ,0.000542125 ,0.000542125
   39 ,14541.4  ,       1.05008 ,       2.36258 ,       1.22752 ,       1.14386 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.00052975  ,0.00052975  ,0.00052975
   40 ,14865.2  ,       1.05794 ,       2.36892 ,       1.22363 ,       1.14813 ,             0.66451 ,          0.5753  ,         0.6301  ,            0.46875 ,             0.66455 ,          0.54962 ,         0.59876 ,            0.38036 ,     0.92348 ,     2.06914 ,     0.95931 ,     1.07441 ,0.000517375 ,0.000517375 ,0.000517375
   41 ,15950.9  ,       1.05813 ,       2.36747 ,       1.22176 ,       1.14633 ,             0.69886 ,          0.5853  ,         0.64712 ,            0.48383 ,             0.69132 ,          0.56785 ,         0.61555 ,            0.39273 ,     0.91254 ,     2.03496 ,     0.9259  ,     1.06429 ,0.000505    ,0.000505    ,0.000505
   42 ,16273    ,       1.05445 ,       2.37604 ,       1.22995 ,       1.1465  ,             0.69886 ,          0.5853  ,         0.64712 ,            0.48383 ,             0.69132 ,          0.56785 ,         0.61555 ,            0.39273 ,     0.91254 ,     2.03496 ,     0.9259  ,     1.06429 ,0.000492625 ,0.000492625 ,0.000492625
   43 ,16596.4  ,       1.04818 ,       2.34868 ,       1.21299 ,       1.13992 ,             0.69886 ,          0.5853  ,         0.64712 ,            0.48383 ,             0.69132 ,          0.56785 ,         0.61555 ,            0.39273 ,     0.91254 ,     2.03496 ,     0.9259  ,     1.06429 ,0.00048025  ,0.00048025  ,0.00048025
   44 ,16918    ,       1.04341 ,       2.33805 ,       1.20412 ,       1.13907 ,             0.69886 ,          0.5853  ,         0.64712 ,            0.48383 ,             0.69132 ,          0.56785 ,         0.61555 ,            0.39273 ,     0.91254 ,     2.03496 ,     0.9259  ,     1.06429 ,0.000467875 ,0.000467875 ,0.000467875
