epoch ,time     ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 , 2386.54 ,       1.24485 ,       3.01305 ,       1.69186 ,       1.28991 ,             0.57411 ,          0.47103 ,         0.49642 ,            0.3425  ,             0.56762 ,          0.45203 ,         0.46755 ,            0.2929  ,     1.10426 ,     2.76467 ,     1.29549 ,     1.13543 ,0.000332973 ,0.000332973 ,0.000332973
    2 , 2574.8  ,       1.23565 ,       2.99773 ,       1.61121 ,       1.28329 ,             0.57411 ,          0.47103 ,         0.49642 ,            0.3425  ,             0.56762 ,          0.45203 ,         0.46755 ,            0.2929  ,     1.10426 ,     2.76467 ,     1.29549 ,     1.13543 ,0.000600342 ,0.000600342 ,0.000600342
    3 , 2763.7  ,       1.23072 ,       2.98511 ,       1.58324 ,       1.27782 ,             0.57411 ,          0.47103 ,         0.49642 ,            0.3425  ,             0.56762 ,          0.45203 ,         0.46755 ,            0.2929  ,     1.10426 ,     2.76467 ,     1.29549 ,     1.13543 ,0.000801711 ,0.000801711 ,0.000801711
    4 , 2953.23 ,       1.23109 ,       2.98626 ,       1.58263 ,       1.2765  ,             0.57411 ,          0.47103 ,         0.49642 ,            0.3425  ,             0.56762 ,          0.45203 ,         0.46755 ,            0.2929  ,     1.10426 ,     2.76467 ,     1.29549 ,     1.13543 ,0.000703    ,0.000703    ,0.000703
    5 , 3140.38 ,       1.24417 ,       3.02299 ,       1.5782  ,       1.27855 ,             0.57411 ,          0.47103 ,         0.49642 ,            0.3425  ,             0.56762 ,          0.45203 ,         0.46755 ,            0.2929  ,     1.10426 ,     2.76467 ,     1.29549 ,     1.13543 ,0.000604    ,0.000604    ,0.000604
    6 , 4788.09 ,       1.11928 ,       2.77815 ,       1.22749 ,       1.17939 ,             0.59678 ,          0.47359 ,         0.51203 ,            0.35343 ,             0.58457 ,          0.453   ,         0.47953 ,            0.30114 ,     1.10676 ,     2.76339 ,     1.19365 ,     1.13576 ,0.000505    ,0.000505    ,0.000505
    7 , 6516.29 ,       1.11722 ,       2.77237 ,       1.22332 ,       1.18072 ,             0.59371 ,          0.47556 ,         0.51317 ,            0.35454 ,             0.58442 ,          0.45377 ,         0.4807  ,            0.3021  ,     1.10655 ,     2.76327 ,     1.19008 ,     1.136   ,0.000406    ,0.000406    ,0.000406
    8 , 8245.63 ,       1.12179 ,       2.75913 ,       1.21343 ,       1.18488 ,             0.59896 ,          0.4759  ,         0.51385 ,            0.35488 ,             0.58696 ,          0.45633 ,         0.4809  ,            0.30187 ,     1.10645 ,     2.76348 ,     1.18823 ,     1.13607 ,0.000307    ,0.000307    ,0.000307
    9 , 9884.31 ,       1.11585 ,       2.76506 ,       1.20825 ,       1.18356 ,             0.59349 ,          0.47733 ,         0.51411 ,            0.35522 ,             0.58668 ,          0.45568 ,         0.48126 ,            0.30223 ,     1.10639 ,     2.7631  ,     1.18742 ,     1.13612 ,0.000208    ,0.000208    ,0.000208
   10 ,11598.1  ,       1.1213  ,       2.77102 ,       1.21792 ,       1.18305 ,             0.59789 ,          0.47598 ,         0.51505 ,            0.35602 ,             0.58555 ,          0.45682 ,         0.48211 ,            0.30273 ,     1.10644 ,     2.7633  ,     1.18624 ,     1.13609 ,0.000109    ,0.000109    ,0.000109
