epoch ,time     ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 , 2384.91 ,       1.16109 ,       2.67459 ,       1.60025 ,       1.22139 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.000332973 ,0.000332973 ,0.000332973
    2 , 2636.14 ,       1.16653 ,       2.63749 ,       1.58413 ,       1.22036 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.000662184 ,0.000662184 ,0.000662184
    3 , 2892.9  ,       1.19749 ,       2.68471 ,       1.62096 ,       1.23661 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.000987269 ,0.000987269 ,0.000987269
    4 , 3143.88 ,       1.21653 ,       2.7164  ,       1.65371 ,       1.24871 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.000981437 ,0.000981437 ,0.000981437
    5 , 3396.86 ,       1.2237  ,       2.73033 ,       1.63582 ,       1.24784 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.00097525  ,0.00097525  ,0.00097525
    6 , 3651.79 ,       1.20845 ,       2.70013 ,       1.62635 ,       1.24369 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.000969063 ,0.000969063 ,0.000969063
    7 , 3907.05 ,       1.20558 ,       2.69366 ,       1.60547 ,       1.23977 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.000962875 ,0.000962875 ,0.000962875
    8 , 4161.2  ,       1.20203 ,       2.67457 ,       1.59253 ,       1.23827 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.000956688 ,0.000956688 ,0.000956688
    9 , 4414.34 ,       1.20248 ,       2.6904  ,       1.58955 ,       1.23862 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.0009505   ,0.0009505   ,0.0009505
   10 , 4667.53 ,       1.19088 ,       2.66926 ,       1.56871 ,       1.23113 ,             0.57343 ,          0.46311 ,         0.49569 ,            0.35059 ,             0.56195 ,          0.44385 ,         0.46554 ,            0.28878 ,     1.05511 ,     2.38502 ,     1.23981 ,     1.12036 ,0.000944313 ,0.000944313 ,0.000944313
