epoch ,time     ,train/box ,train/seg ,train/cls ,train/dfl ,tp_metrics/precision(B) ,tp_metrics/recall(B) ,tp_metrics/mAP50(B) ,tp_metrics/mAP50-95(B) ,tp_metrics/precision(M) ,tp_metrics/recall(M) ,tp_metrics/mAP50(M) ,tp_metrics/mAP50-95(M) ,tp_metrics/APr(B) ,tp_metrics/APc(B) ,tp_metrics/APf(B) ,tp_metrics/APr(M) ,tp_metrics/APc(M) ,tp_metrics/APf(M) ,val/box ,val/seg ,val/cls ,val/dfl ,lr/pg0      ,lr/pg1      ,lr/pg2
    1 , 3894.97 ,  1.75322 ,  3.44818 ,  3.01579 ,  1.87466 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.000666605 ,0.000666605 ,0.000666605
    2 , 6050.58 ,  1.29265 ,  2.69603 ,  2.26812 ,  1.39141 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.00128927  ,0.00128927  ,0.00128927
    3 , 8181.86 ,  1.22011 ,  2.56902 ,  2.14069 ,  1.32798 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.00186794  ,0.00186794  ,0.00186794
    4 ,10341.6  ,  1.18399 ,  2.4921  ,  2.07015 ,  1.29723 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.001802    ,0.001802    ,0.001802
    5 ,12504.1  ,  1.15854 ,  2.43702 ,  2.01389 ,  1.27662 ,                0.25462 ,             0.10474 ,            0.17227 ,               0.11864 ,                0.25526 ,             0.09912 ,            0.15934 ,               0.10255 ,          0.11483 ,          0.10306 ,          0.13315 ,          0.10638 ,          0.09006 ,          0.11295 ,1.49768 ,3.14642 ,8.32283 ,1.51856 ,0.001736    ,0.001736    ,0.001736
    6 ,16384.7  ,  1.1444  ,  2.40156 ,  1.98028 ,  1.26539 ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.00167     ,0.00167     ,0.00167
    7 ,18519.3  ,  1.13239 ,  2.37609 ,  1.95997 ,  1.25697 ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.001604    ,0.001604    ,0.001604
    8 ,20672.2  ,  1.12587 ,  2.35434 ,  1.94006 ,  1.2516  ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.001538    ,0.001538    ,0.001538
    9 ,22855.2  ,  1.11825 ,  2.33788 ,  1.92827 ,  1.24659 ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.001472    ,0.001472    ,0.001472
   10 ,25010.6  ,  1.11202 ,  2.32461 ,  1.91628 ,  1.24212 ,                0.21726 ,             0.1797  ,            0.28187 ,               0.20274 ,                0.21961 ,             0.17034 ,            0.26316 ,               0.17469 ,          0.15066 ,          0.19704 ,          0.21716 ,          0.1453  ,          0.17277 ,          0.18168 ,1.28656 ,2.761   ,6.98505 ,1.30892 ,0.001406    ,0.001406    ,0.001406
