epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.07,3.75283,5.79522,4.25518,0.00131,0.00824,0.00074,0.00025,3.58229,inf,4.43423,0.00332613,0.00332613,0.00332613
2,546.658,2.76363,4.47115,2.97402,0.36227,0.03675,0.01852,0.00853,2.1628,3.54736,2.37751,0.00664848,0.00664848,0.00664848
3,809.195,1.89134,3.26712,1.95665,0.22569,0.12162,0.07663,0.04221,1.7275,2.83615,1.95167,0.00995982,0.00995982,0.00995982
4,1069.42,1.64624,2.72654,1.71241,0.31588,0.20148,0.16101,0.09756,1.52998,2.33678,1.7313,0.0099505,0.0099505,0.0099505
5,1328.84,1.51622,2.41359,1.59059,0.34484,0.26198,0.22473,0.14136,1.42241,2.09368,1.63703,0.009934,0.009934,0.009934
6,1588.21,1.44652,2.21834,1.52407,0.40269,0.28618,0.27009,0.17244,1.3547,1.9055,1.56417,0.0099175,0.0099175,0.0099175
7,1847.61,1.39441,2.08004,1.48047,0.45128,0.30861,0.30367,0.19881,1.31356,1.78624,1.50911,0.009901,0.009901,0.009901
8,2107.06,1.35919,1.9829,1.44775,0.4497,0.33572,0.33363,0.22218,1.27227,1.67945,1.47081,0.0098845,0.0098845,0.0098845
9,2366.42,1.32,1.88119,1.411,0.49232,0.34797,0.35871,0.24074,1.24865,1.61728,1.44455,0.009868,0.009868,0.009868
10,2625.48,1.30165,1.83752,1.39449,0.49936,0.37117,0.38435,0.26012,1.21333,1.53287,1.41207,0.0098515,0.0098515,0.0098515
11,2884.42,1.28452,1.79186,1.37486,0.52415,0.38388,0.40506,0.27733,1.18862,1.48524,1.37946,0.009835,0.009835,0.009835
12,3143.5,1.27096,1.74417,1.35587,0.52308,0.39734,0.42104,0.29019,1.1701,1.4428,1.3609,0.0098185,0.0098185,0.0098185
13,3403,1.25879,1.69794,1.3408,0.5399,0.41965,0.43775,0.30206,1.15838,1.39777,1.34353,0.009802,0.009802,0.009802
14,3661.93,1.24108,1.67093,1.32527,0.5588,0.4251,0.44999,0.31418,1.13714,1.35889,1.32395,0.0097855,0.0097855,0.0097855
15,3921.43,1.2291,1.64034,1.31623,0.57273,0.43413,0.46379,0.32416,1.12205,1.3307,1.31113,0.009769,0.009769,0.009769
16,4180.67,1.22379,1.62595,1.30848,0.5714,0.44561,0.47316,0.3321,1.11226,1.30609,1.29839,0.0097525,0.0097525,0.0097525
17,4438.85,1.20879,1.61092,1.29555,0.59072,0.44868,0.4847,0.34295,1.10048,1.27229,1.28541,0.009736,0.009736,0.009736
18,4697.25,1.20955,1.58447,1.2927,0.57516,0.46021,0.49169,0.34775,1.09344,1.25771,1.27427,0.0097195,0.0097195,0.0097195
19,4955.64,1.19818,1.57208,1.2812,0.59967,0.46517,0.50078,0.35423,1.08414,1.23796,1.26632,0.009703,0.009703,0.009703
20,5214.39,1.18363,1.54943,1.27492,0.59679,0.47048,0.50639,0.36002,1.07502,1.22023,1.25471,0.0096865,0.0096865,0.0096865
21,5473.36,1.18339,1.53664,1.27088,0.59174,0.4792,0.51326,0.3661,1.06802,1.20481,1.24857,0.00967,0.00967,0.00967
22,5732.42,1.17428,1.52667,1.26173,0.60613,0.48301,0.51943,0.37126,1.06088,1.18962,1.24237,0.0096535,0.0096535,0.0096535
23,5991.68,1.17094,1.51093,1.25645,0.6045,0.49092,0.52408,0.37519,1.0558,1.17915,1.23648,0.009637,0.009637,0.009637
24,6250.32,1.16438,1.49642,1.25454,0.62215,0.48331,0.52697,0.37781,1.05093,1.16928,1.23108,0.0096205,0.0096205,0.0096205
25,6508.84,1.15953,1.48934,1.2509,0.61844,0.49214,0.53243,0.38194,1.04663,1.15802,1.2269,0.009604,0.009604,0.009604
26,6767.87,1.16433,1.48516,1.25017,0.61908,0.49154,0.53443,0.38448,1.04293,1.15069,1.22306,0.0095875,0.0095875,0.0095875
27,7026.38,1.16818,1.49106,1.25387,0.62517,0.49294,0.53748,0.38713,1.0386,1.14477,1.21929,0.009571,0.009571,0.009571
28,7285.55,1.15589,1.47312,1.24485,0.62162,0.49712,0.54139,0.39025,1.03506,1.13692,1.21565,0.0095545,0.0095545,0.0095545
29,7544,1.15017,1.47372,1.24108,0.61795,0.50445,0.54498,0.39309,1.03272,1.12992,1.21335,0.009538,0.009538,0.009538
