epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.58,3.67409,5.7997,4.23095,0.00057,0.0187,0.0003,0.0001,3.57714,inf,6.54829,0.00332613,0.00332613,0.00332613
2,396.246,2.85012,4.83548,3.13866,0.00371,0.12499,0.00571,0.00247,2.28931,3.89322,2.506,0.00664848,0.00664848,0.00664848
3,524.345,1.98716,3.73223,2.05368,0.21313,0.07748,0.03184,0.01589,1.94887,3.30362,2.00147,0.00995982,0.00995982,0.00995982
4,648.993,1.70712,3.12,1.75855,0.21209,0.13322,0.08979,0.05135,1.70553,2.70397,1.75597,0.0099505,0.0099505,0.0099505
5,773.66,1.58303,2.74548,1.62897,0.25343,0.18529,0.13167,0.07811,1.60019,2.45253,1.66144,0.009934,0.009934,0.009934
6,897.947,1.50906,2.56036,1.55871,0.31814,0.21029,0.17251,0.10573,1.54417,2.27229,1.59234,0.0099175,0.0099175,0.0099175
7,1023.04,1.4602,2.41213,1.51228,0.34664,0.23039,0.20026,0.12586,1.50192,2.17113,1.55348,0.009901,0.009901,0.009901
8,1145.74,1.42874,2.29651,1.47605,0.36393,0.25364,0.22907,0.1463,1.45941,2.05214,1.51413,0.0098845,0.0098845,0.0098845
9,1269.33,1.40195,2.2387,1.45389,0.4092,0.26556,0.25236,0.16157,1.43955,1.97699,1.48588,0.009868,0.009868,0.009868
10,1392.4,1.3883,2.17318,1.43168,0.41058,0.28172,0.26641,0.17299,1.40492,1.90929,1.45227,0.0098515,0.0098515,0.0098515
11,1516.05,1.37281,2.11616,1.41624,0.44304,0.29692,0.28647,0.18715,1.37779,1.83621,1.42472,0.009835,0.009835,0.009835
12,1640.02,1.36088,2.06849,1.40156,0.4621,0.30431,0.30352,0.20025,1.36048,1.77983,1.41147,0.0098185,0.0098185,0.0098185
13,1762.74,1.34455,2.03859,1.38702,0.47398,0.31457,0.31435,0.20899,1.34247,1.73726,1.39526,0.009802,0.009802,0.009802
14,1884.78,1.32681,1.98622,1.37114,0.48333,0.32229,0.32799,0.21855,1.3283,1.70222,1.37447,0.0097855,0.0097855,0.0097855
15,2007.66,1.31964,1.96594,1.3658,0.4928,0.33489,0.34398,0.23035,1.31245,1.66353,1.36128,0.009769,0.009769,0.009769
16,2129.88,1.32025,1.95014,1.36237,0.51128,0.33969,0.34917,0.23366,1.30166,1.63592,1.34933,0.0097525,0.0097525,0.0097525
17,2252.27,1.30771,1.92565,1.35007,0.5166,0.34903,0.36174,0.24305,1.29012,1.60427,1.33992,0.009736,0.009736,0.009736
18,2374.07,1.3037,1.90358,1.34608,0.50867,0.35642,0.36837,0.24875,1.27707,1.57863,1.32586,0.0097195,0.0097195,0.0097195
19,2498.06,1.29775,1.88557,1.33715,0.51806,0.36104,0.37546,0.25466,1.26967,1.55993,1.32158,0.009703,0.009703,0.009703
20,2620.42,1.28324,1.86384,1.32838,0.52087,0.37345,0.38518,0.26157,1.26105,1.53643,1.31098,0.0096865,0.0096865,0.0096865
21,2742.42,1.28602,1.85137,1.32984,0.53165,0.37351,0.38879,0.26442,1.25247,1.5221,1.30371,0.00967,0.00967,0.00967
22,2865.15,1.28063,1.84304,1.325,0.53354,0.37951,0.39443,0.26836,1.24961,1.50702,1.30023,0.0096535,0.0096535,0.0096535
23,2987.67,1.2715,1.81947,1.31374,0.53277,0.38094,0.39924,0.2719,1.24219,1.49464,1.29416,0.009637,0.009637,0.009637
24,3110.09,1.26939,1.79577,1.3128,0.53646,0.38668,0.40301,0.27565,1.2387,1.48106,1.28824,0.0096205,0.0096205,0.0096205
25,3233.73,1.26147,1.78797,1.30806,0.54045,0.39266,0.40902,0.2799,1.23307,1.46968,1.2834,0.009604,0.009604,0.009604
26,3356.49,1.26706,1.78851,1.30714,0.53949,0.39549,0.41137,0.28204,1.22771,1.45666,1.27885,0.0095875,0.0095875,0.0095875
27,3480.42,1.26905,1.78259,1.30829,0.5444,0.39755,0.41569,0.2851,1.22272,1.44797,1.27608,0.009571,0.009571,0.009571
28,3604.26,1.2626,1.77191,1.30391,0.53966,0.40385,0.41827,0.28708,1.22068,1.4412,1.2737,0.0095545,0.0095545,0.0095545
29,3726.91,1.25625,1.77257,1.30285,0.54677,0.401,0.42103,0.28951,1.21701,1.43378,1.27075,0.009538,0.009538,0.009538
30,3851.69,1.25306,1.7488,1.29884,0.54795,0.40404,0.42353,0.29122,1.21408,1.42671,1.26855,0.0095215,0.0095215,0.0095215
31,3975.21,1.25142,1.73668,1.29264,0.55645,0.40276,0.42535,0.29318,1.21139,1.42112,1.2656,0.009505,0.009505,0.009505
32,4098.71,1.24245,1.74128,1.29329,0.55466,0.40694,0.42731,0.29495,1.20951,1.41642,1.26343,0.0094885,0.0094885,0.0094885
33,4222.14,1.24877,1.73454,1.29099,0.5571,0.40554,0.42864,0.29588,1.20724,1.41169,1.2611,0.009472,0.009472,0.009472
34,4345.35,1.24448,1.73073,1.2888,0.55539,0.40942,0.4297,0.29699,1.20611,1.40742,1.25976,0.0094555,0.0094555,0.0094555
35,4467.71,1.24478,1.72061,1.28738,0.55502,0.41213,0.43094,0.29796,1.2048,1.40389,1.25875,0.009439,0.009439,0.009439
36,4589.77,1.24442,1.70576,1.28674,0.56158,0.41123,0.43206,0.2988,1.20372,1.40075,1.2576,0.0094225,0.0094225,0.0094225
