epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.887,3.70137,5.81363,4.22953,0.00163,0.00952,0.0009,0.00025,3.53785,5.31773,4.13032,0.00332613,0.00332613,0.00332613
2,501.11,2.64304,4.41195,2.82565,0.30284,0.03563,0.01618,0.00761,2.10517,3.52868,2.35791,0.00664848,0.00664848,0.00664848
3,749.063,1.90854,3.3877,1.98903,0.25375,0.10235,0.05763,0.03131,1.78302,2.9205,1.98156,0.00995982,0.00995982,0.00995982
4,996.51,1.68071,2.86168,1.74047,0.26972,0.17118,0.12427,0.0736,1.60207,2.52902,1.77566,0.0099505,0.0099505,0.0099505
5,1242.93,1.56951,2.54159,1.62493,0.31269,0.20974,0.17463,0.10777,1.50752,2.23793,1.66167,0.009934,0.009934,0.009934
6,1489.44,1.50069,2.35649,1.56037,0.37566,0.24536,0.22047,0.13786,1.45538,2.07674,1.59936,0.0099175,0.0099175,0.0099175
7,1735.89,1.45552,2.22158,1.51502,0.4062,0.27014,0.25713,0.16496,1.40674,1.9515,1.55853,0.009901,0.009901,0.009901
8,1981.91,1.41964,2.12166,1.47359,0.42024,0.29363,0.28275,0.18261,1.36245,1.84421,1.51109,0.0098845,0.0098845,0.0098845
9,2227.87,1.39455,2.05542,1.44872,0.45331,0.31614,0.31506,0.20693,1.32734,1.75566,1.46997,0.009868,0.009868,0.009868
10,2474.46,1.37643,1.99282,1.42542,0.48396,0.32215,0.33207,0.22058,1.29108,1.69556,1.43945,0.0098515,0.0098515,0.0098515
11,2719.81,1.3539,1.94121,1.40428,0.47537,0.3411,0.34806,0.23411,1.27399,1.64165,1.41143,0.009835,0.009835,0.009835
12,2965.68,1.34416,1.90253,1.39224,0.5007,0.35463,0.36553,0.24586,1.25277,1.58593,1.39236,0.0098185,0.0098185,0.0098185
13,3211.88,1.32734,1.87446,1.37705,0.51136,0.36832,0.38059,0.25842,1.23569,1.5345,1.37212,0.009802,0.009802,0.009802
14,3457.88,1.31472,1.83374,1.36301,0.52078,0.38262,0.39726,0.27065,1.21787,1.49779,1.35451,0.0097855,0.0097855,0.0097855
15,3704.5,1.30358,1.81092,1.35098,0.51456,0.39141,0.40598,0.2782,1.20211,1.47073,1.33558,0.009769,0.009769,0.009769
16,3950.28,1.29748,1.78896,1.34317,0.51709,0.40522,0.41896,0.28815,1.19542,1.4337,1.32779,0.0097525,0.0097525,0.0097525
17,4195.72,1.29389,1.76653,1.33712,0.53748,0.40107,0.42709,0.29553,1.18469,1.40849,1.31373,0.009736,0.009736,0.009736
18,4441.71,1.27948,1.75191,1.32847,0.54765,0.41264,0.43654,0.30252,1.17086,1.39027,1.30233,0.0097195,0.0097195,0.0097195
19,4687.29,1.27012,1.71815,1.31962,0.55383,0.42007,0.44361,0.30791,1.15838,1.36878,1.29127,0.009703,0.009703,0.009703
20,4932.85,1.27232,1.71936,1.31728,0.56057,0.4255,0.4482,0.31261,1.1532,1.34986,1.28092,0.0096865,0.0096865,0.0096865
21,5178.6,1.26444,1.70154,1.30989,0.58132,0.42135,0.45363,0.31798,1.14492,1.33567,1.27432,0.00967,0.00967,0.00967
22,5424.28,1.26156,1.6927,1.30429,0.57502,0.43122,0.46174,0.32462,1.1385,1.31787,1.26692,0.0096535,0.0096535,0.0096535
